position_cat_shift,goals_conceded,shots,shots_on_target,goals_counter,long_balls,passes,touches,crosses,through_balls,corners,att_obox_goal,bookings,position_cat_ls
1.0,-9.0,39.0,20.0,0.0,-27.0,595.0,2307.0,61.0,-20.0,11.0,0.0,-23.0,3.0
0.0,-5.0,15.0,13.0,1.0,-475.0,1543.0,3315.0,-190.0,181.0,-18.0,-3.0,6.0,2.0
-1.0,21.0,34.0,24.0,-4.0,296.0,-700.0,-689.0,-31.0,-56.0,-9.0,1.0,-5.0,2.0
-1.0,4.0,23.0,-17.0,1.0,-71.0,-1249.0,-3150.0,125.0,-38.0,1.0,-1.0,-5.0,3.0
-1.0,-2.0,-70.0,-36.0,0.0,151.0,-218.0,-158.0,-63.0,8.0,-27.0,-3.0,-8.0,2.0
0.0,-4.0,66.0,30.0,-1.0,487.0,1204.0,1282.0,17.0,8.0,56.0,5.0,-1.0,3.0
1.0,4.0,70.0,33.0,1.0,20.0,1463.0,1311.0,-163.0,-10.0,-17.0,1.0,-3.0,3.0
-1.0,13.0,-59.0,-47.0,1.0,54.0,96.0,-438.0,-53.0,5.0,-52.0,-4.0,20.0,2.0
0.0,4.0,-127.0,-5.0,1.0,-55.0,-758.0,-738.0,-20.0,14.0,-11.0,4.0,-8.0,3.0
0.0,-8.0,15.0,-6.0,1.0,-255.0,331.0,2291.0,-46.0,-32.0,9.0,0.0,-13.0,3.0
0.0,-6.0,101.0,22.0,-1.0,63.0,635.0,3216.0,176.0,112.0,24.0,-1.0,0.0,3.0
0.0,34.0,-35.0,11.0,-1.0,381.0,2434.0,1929.0,-262.0,-13.0,-29.0,0.0,5.0,3.0
0.0,-18.0,-44.0,-4.0,4.0,-390.0,427.0,-1483.0,-61.0,-15.0,-12.0,3.0,3.0,3.0
0.0,1.0,8.0,-8.0,-3.0,-63.0,535.0,-574.0,124.0,-56.0,43.0,5.0,-1.0,3.0
-1.0,11.0,-19.0,8.0,1.0,-106.0,2212.0,2230.0,69.0,-1.0,-14.0,-8.0,-2.0,3.0
0.0,10.0,23.0,20.0,1.0,43.0,1803.0,131.0,164.0,22.0,37.0,2.0,-3.0,3.0
-1.0,16.0,14.0,13.0,0.0,-101.0,37.0,-187.0,-105.0,-52.0,-36.0,-2.0,4.0,3.0
